"lng","lat","count"
"102.683722","24.988277","8"
"102.713466","25.096034","8"
"102.731352","24.977901","8"
"102.78751","25.032844","8"
"102.708856","24.977876","8"
"102.78751","25.045053","8"
"102.75383","24.984016","8"
"102.766471","24.991533","8"
"102.665978","25.071385","8"
"102.767598","24.992157","8"
"102.661583","25.008327","8"
"102.675092","24.992069","8"
"102.731352","24.975865","8"
"102.69085","24.981919","8"
"102.789734","25.035741","8"
"102.789754","25.043015","8"
"102.783023","25.065405","8"
"102.767611","24.990124","8"
"102.687033","24.982476","8"
"102.776287","24.998256","8"
"102.652079","25.030637","8"
"102.71561","25.09998","8"
"102.661583","25.004256","8"
"102.789754","25.051155","8"
"102.695351","24.977855","8"
"102.787509","25.014527","8"
"102.663837","25.073447","8"
"102.663834","25.00019","8"
"102.681848","25.089755","8"
"102.742696","24.975791","8"
"102.688598","24.979878","8"
"102.663483","24.998371","8"
"102.739022","25.101814","8"
"102.776287","24.992148","8"
"102.648078","25.030691","8"
"102.677345","25.09178","8"
"102.677342","24.981894","8"
"102.708856","24.969732","8"
"102.779088","24.992422","8"
"102.756076","24.975872","8"
"102.648078","25.020515","8"
"102.75896","25.097253","8"
"102.766765","25.093063","8"
"102.76936","25.091303","8"
"102.713356","24.967702","8"
"102.739263","25.104808","8"
"102.762814","24.977907","8"
"102.650329","25.010343","8"
"102.796484","25.018585","8"
"102.736488","24.96745","8"
"102.72011","25.10812","8"
"102.677342","24.977822","8"
"102.78302","24.992142","8"
"102.643577","25.026614","8"
"102.702104","24.967686","8"
"102.731352","24.965685","8"
"102.661583","24.990007","8"
"102.65483","24.998138","8"
"102.659407","24.991973","8"
"102.695588","24.967787","8"
"102.641243","25.042964","8"
"102.668336","24.981876","8"
"102.659332","24.990003","8"
"102.641327","25.04696","8"
"102.729103","24.963647","8"
"102.713356","24.96363","8"
"102.672843","25.09584","8"
"102.723727","25.110615","8"
"102.704355","24.963617","8"
"102.639076","25.042887","8"
"102.643559","25.062705","8"
"102.693101","24.965634","8"
"102.78","24.982162","8"
"102.732103","24.961154","8"
"102.785206","24.985924","8"
"102.652579","24.992027","8"
"102.636753","25.040664","8"
"102.776287","24.977898","8"
"102.781075","24.981889","8"
"102.787508","24.988065","8"
"102.725273","25.114143","8"
"102.688599","24.965626","8"
"102.72011","25.114221","8"
"102.636826","25.024568","8"
"102.787511","25.087777","8"
"102.650327","24.992023","8"
"102.717925","24.957769","8"
"102.787508","24.983993","8"
"102.711106","24.957518","8"
"102.642109","25.071606","8"
"102.659332","24.979824","8"
"102.69085","24.961558","8"
"102.738096","24.957544","8"
"102.688598","24.961554","8"
"102.785264","24.979924","8"
"102.65483","24.981851","8"
"102.789752","24.981955","8"
"102.798729","25.081658","8"
"102.632326","25.018457","8"
"102.652579","24.981847","8"
"102.732218","25.119746","8"
"102.632326","25.016422","8"
"102.677342","24.963569","8"
"102.639039","25.075413","8"
"102.733643","25.120304","8"
"102.798727","24.990085","8"
"102.809943","25.063331","8"
"102.66834","25.106","8"
"102.630076","25.020489","8"
"102.652578","24.979812","8"
"102.769555","25.110166","8"
"102.717726","25.122284","8"
"102.720116","25.122359","8"
"102.720105","24.95142","8"
"102.731356","25.122366","8"
"102.654829","24.975744","8"
"102.659335","25.101916","8"
"102.816671","25.032798","8"
"102.630076","25.012348","8"
"102.695459","24.953311","8"
"102.787512","25.09998","8"
"102.672843","25.11211","8"
"102.752007","25.119646","8"
"102.800973","25.087757","8"
"102.625577","25.020484","8"
"102.803213","24.988042","8"
"102.762819","25.118304","8"
"102.742592","24.949401","8"
"102.789752","24.971775","8"
"102.670591","25.114139","8"
"102.774043","25.014541","9"
"102.778476","24.979962","9"
"102.714229","25.025092","10"
"102.693713","24.952766","10"
"102.725628","25.03273","11"
"102.715157","25.018563","11"
"102.734117","25.015858","11"
"102.758323","25.016585","11"
"102.76057","25.016584","11"
"102.769537","25.034813","11"
"102.774041","25.034733","11"
"102.738097","24.988085","11"
"102.756076","24.996231","11"
"102.765061","25.002335","11"
"102.748715","24.987599","11"
"102.715911","24.979389","11"
"102.733601","24.979939","11"
"102.774043","25.002329","11"
"102.729182","24.975963","11"
"102.783021","25.010462","11"
"102.785265","25.008424","11"
"102.742593","24.973836","11"
"102.760568","24.977908","11"
"102.724605","24.967715","11"
"102.774042","24.986043","11"
"102.789753","25.004347","11"
"102.738097","24.967725","11"
"102.780083","24.98971","11"
"102.769552","24.979939","11"
"102.771797","24.977901","11"
"102.738097","24.963653","11"
"102.766503","24.973809","11"
"102.740345","24.963653","11"
"102.722355","24.961604","11"
"102.738097","24.961616","11"
"102.767694","24.971814","11"
"102.771797","24.973829","11"
"102.738097","24.959581","11"
"102.76777","24.969778","11"
"102.78302","24.977891","11"
"102.780776","24.975857","11"
"102.798649","24.994081","11"
"102.785264","24.97178","11"
"102.768243","24.95968","11"
"102.794239","24.977877","11"
"102.791996","24.973808","11"
"102.758321","24.953474","11"
"102.807809","24.992308","11"
"102.717994","25.042231","12"
"102.727741","25.049941","12"
"102.742426","25.026446","12"
"102.716614","25.015144","12"
"102.696355","25.031903","12"
"102.69386","25.030901","12"
"102.701542","25.056032","12"
"102.737102","25.066736","12"
"102.720175","25.002361","12"
"102.756078","25.053215","12"
"102.681807","25.044389","12"
"102.758324","25.053215","12"
"102.684635","25.053902","12"
"102.747197","25.006316","12"
"102.679309","25.031042","12"
"102.747091","25.069491","12"
"102.762816","25.020654","12"
"102.751585","25.067457","12"
"102.698968","25.000871","12"
"102.674995","25.030608","12"
"102.744841","24.998266","12"
"102.762817","25.061351","12"
"102.769553","25.051175","12"
"102.711109","25.081668","12"
"102.671003","25.045779","12"
"102.708859","25.083699","12"
"102.691451","24.997061","12"
"102.765089","25.008464","12"
"102.668227","25.030897","12"
"102.676609","25.009614","12"
"102.71336","25.085739","12"
"102.686754","24.998867","12"
"102.668338","25.024623","12"
"102.686431","25.076825","12"
"102.679596","25.071443","12"
"102.689478","24.993446","12"
"102.677492","25.07126","12"
"102.690853","25.081635","12"
"102.661585","25.042925","12"
"102.690968","25.084069","12"
"102.693102","24.98803","12"
"102.661584","25.022575","12"
"102.74915","25.087642","12"
"102.670843","25.004031","12"
"102.667611","25.065409","12"
"102.666681","25.064374","12"
"102.666086","25.010371","12"
"102.667456","25.067223","12"
"102.735972","25.093414","12"
"102.767309","25.077624","12"
"102.741079","25.092733","12"
"102.657082","25.028672","12"
"102.688599","24.985986","12"
"102.668616","25.001996","12"
"102.659333","25.0185","12"
"102.695352","24.981926","12"
"102.774043","25.000293","12"
"102.780777","25.008429","12"
"102.657082","25.020531","12"
"102.783021","25.012497","12"
"102.724586","24.975841","12"
"102.78751","25.051157","12"
"102.769552","24.992154","12"
"102.789754","25.047085","12"
"102.785267","25.061333","12"
"102.654831","25.020527","12"
"102.697603","24.977858","12"
"102.666676","25.07554","12"
"102.740276","24.975926","12"
"102.677319","24.987978","12"
"102.652611","25.047467","12"
"102.665534","25.07493","12"
"102.702105","24.97583","12"
"102.65028","25.032688","12"
"102.78513","25.003668","12"
"102.791997","25.016557","12"
"102.720106","24.969747","12"
"102.652723","25.062524","12"
"102.711027","24.969796","12"
"102.693823","24.973827","12"
"102.646394","25.041394","12"
"102.791997","25.012486","12"
"102.704355","24.969725","12"
"102.715606","24.967705","12"
"102.645735","25.04898","12"
"102.798728","25.049107","12"
"102.666088","25.087691","12"
"102.66834","25.089729","12"
"102.734983","24.966385","12"
"102.645828","25.05714","12"
"102.798728","25.020617","12"
"102.780591","25.085141","12"
"102.771797","24.979937","12"
"102.65483","24.996102","12"
"102.677342","24.975786","12"
"102.791913","25.000184","12"
"102.686347","24.969694","12"
"102.789752","24.994169","12"
"102.783023","25.087782","12"
"102.641321","25.057128","12"
"102.675094","25.099912","12"
"102.637473","25.041538","12"
"102.69085","24.96563","12"
"102.783023","25.089816","12"
"102.762818","25.104069","12"
"102.659331","24.983895","12"
"102.636826","25.046953","12"
"102.805458","25.053166","12"
"102.639077","25.059164","12"
"102.641125","25.065292","12"
"102.65483","24.985923","12"
"102.805458","25.059269","12"
"102.729127","25.117434","12"
"102.771825","25.10404","12"
"102.634474","25.016533","12"
"102.632326","25.024562","12"
"102.79424","24.988056","12"
"102.81223","25.034881","12"
"102.785264","24.977888","12"
"102.640349","25.074796","12"
"102.749335","24.957548","12"
"102.661583","24.97372","12"
"102.745796","25.11735","12"
"102.663834","24.971688","12"
"102.800973","25.081655","12"
"102.77476","25.107481","12"
"102.729107","25.122364","12"
"102.636827","25.075437","12"
"102.708855","24.951406","12"
"102.776286","24.965681","12"
"102.723911","24.949838","12"
"102.78078","25.106089","12"
"102.818913","25.032794","12"
"102.760572","25.118305","12"
"102.643965","25.091628","12"
"102.74233","25.124082","12"
"102.812185","25.000241","12"
"102.767759","24.998259","13"
"102.722355","24.969749","13"
"102.716344","25.030365","14"
"102.734615","25.036915","14"
"102.714319","25.023704","14"
"102.706385","25.04251","14"
"102.707632","25.045079","14"
"102.742904","25.027337","14"
"102.720116","25.014656","14"
"102.693813","25.049473","14"
"102.689893","25.021717","14"
"102.753832","25.051181","14"
"102.716246","25.075011","14"
"102.765062","25.030829","14"
"102.744443","25.071829","14"
"102.739753","24.999478","14"
"102.682675","25.015816","14"
"102.765062","25.051177","14"
"102.68029","25.055937","14"
"102.681171","25.015016","14"
"102.726857","25.079652","14"
"102.746624","25.073927","14"
"102.679836","25.012238","14"
"102.679099","25.061661","14"
"102.767307","25.016581","14"
"102.684099","25.069417","14"
"102.675092","25.014459","14"
"102.758325","25.071525","14"
"102.678542","25.007432","14"
"102.771798","25.018614","14"
"102.67128","25.057323","14"
"102.775611","25.022464","14"
"102.675091","25.006317","14"
"102.663836","25.044963","14"
"102.661585","25.04496","14"
"102.670577","25.00632","14"
"102.767817","25.000257","14"
"102.681848","25.079584","14"
"102.742593","24.984015","14"
"102.661584","25.02054","14"
"102.753902","24.98802","14"
"102.783021","25.022674","14"
"102.745812","25.090787","14"
"102.66832","25.004284","14"
"102.771216","24.999556","14"
"102.679594","24.992077","14"
"102.65703","25.046289","14"
"102.751586","25.089834","14"
"102.659333","25.016464","14"
"102.663835","25.006296","14"
"102.773621","24.99787","14"
"102.67284","24.9941","14"
"102.751122","25.092428","14"
"102.699854","24.977862","14"
"102.663835","25.002225","14"
"102.720106","24.973819","14"
"102.722356","24.973821","14"
"102.683961","24.98381","14"
"102.765064","25.087797","14"
"102.668349","24.994104","14"
"102.787511","25.06133","14"
"102.65258","25.016453","14"
"102.771797","24.988081","14"
"102.69085","24.975811","14"
"102.731352","24.969757","14"
"102.721615","25.104632","14"
"102.645828","25.032723","14"
"102.731352","24.967721","14"
"102.648078","25.01441","14"
"102.645577","25.022915","14"
"102.723214","25.108","14"
"102.762818","25.097967","14"
"102.663834","24.987975","14"
"102.641698","25.040765","14"
"102.67509","24.977817","14"
"102.641326","25.036785","14"
"102.789753","24.998241","14"
"102.641327","25.032715","14"
"102.643576","25.018473","14"
"102.763091","25.099543","14"
"102.762579","25.100402","14"
"102.780642","24.986093","14"
"102.666085","24.981872","14"
"102.663834","24.983904","14"
"102.639076","25.038817","14"
"102.648079","25.071385","14"
"102.65033","25.075457","14"
"102.684096","24.96969","14"
"102.785268","24.988071","14"
"102.805483","25.036982","14"
"102.636826","25.038814","14"
"102.785267","25.087779","14"
"102.702089","24.961591","14"
"102.663834","24.979832","14"
"102.643578","25.071378","14"
"102.767305","25.104071","14"
"102.634577","25.04695","14"
"102.76506","24.967726","14"
"102.78302","24.979927","14"
"102.670592","25.101937","14"
"102.731356","25.116265","14"
"102.65483","24.983887","14"
"102.708856","24.955478","14"
"102.747088","24.957547","14"
"102.696953","24.95606","14"
"102.769551","24.96365","14"
"102.663834","24.969652","14"
"102.681844","24.959505","14"
"102.803262","24.994252","14"
"102.780779","25.104055","14"
"102.803212","24.992113","14"
